Comment,Designator,Footprint,LCSC Part #
0.47R,R9,R0402,C723356
1M,R4,R0402,
1k,R5,R0402,
1uF/50V,C9 C10 C11 C16,C0402,
2.55R,R12,R0402,C477655
3.3k,R10,R0402,
4.7k,R14 R19,R0402,
4.7uF/25V,C3 C8 C12 C13 C14 C15,C0402,
4.7uF/25V,C20,C0603,
5.1k,R15 R16,R0402,
10k,R1 R2 R3 R6 R8 R17,R0402,
10uF/16V,C4 C7 C17 C18 C22 C23,C0603,
10uF/25V,C21,C0603,
10uH/1A,L1,SMNR4020,C497803
22uF/16V,C26,C0603,
47k,R7 R13,R0402,
47uF,C2,C0603,C178330
100k,R18,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C24,C0402,
180,R11,R0402,
AFC24-S24FIC-00,J5,FFC2B2824G,C262292
AO3401,Q5,SOT23,
BAT60B,D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
DMG2305UX,Q2,MICRO3,C144153
DSHP02TS-S,DISP,DSHP02TSS,C319052
EN button,RESET,1TS003B16003500A,C255808
ESP32-S3-WROOM-1-N16,IC5,ESP32S3WROOM1N16,
JST-PH-2_SMD/90SMD,BATTERY,S2B-PH-SM4,C47647
JST-SH-4P,J2,1X04_1MM_RA,
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
MAX17048,U2,TDFN-8,C2682616
MBR0530,D4 D5 D6,SOD123-F,
MMDT3904,Q1,SC70-6,C268586
MMDT5401,Q3,SC70-6,C54540
RED,CHARGING,CHIP-LED0603,C241893
RT9080-33GJ5,IC1 IC4,SOT94P280X100-5N,
Si1308EDL,Q4,SOT65P210X110-3N,C469327
TP4054-42-SOT25-R,IC2,SOT-23-5,C382138
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR_VERT,J3,1X06_1MM_RA_VERT,C145963
